ID,Company
1,metad agricultural developmet plc
2,yidnekachew debessa cocoa plantation
3,richmond investment-cocoa department
4,diamond enterprise plc
5,fahem cocoa plantation
6,cocoa quality institute
7,yunnan cocoa exchange
8,essence cocoa
9,the cocoa source inc.
10,nucocoa
11,kabum trading company
12,cigrah s.a de c.v
13,exclusive cocoas s.a.
14,kona pacific farmers cooperative
15,c dorman ltd
16,haider abamecha cocoa export
17,lanna chocolatier
18,keremara limited
19,kawacom uganda ltd
20,ucda
21,lusso cocoa lab
22,"unex guatemala, s.a."
23,exportadora de chocolatier condor s.a
24,unichocolatier
25,ibrahim hussien specality cocoa product & exporter
26,sertrasa
27,ce specialty s.a.
28,sustainable harvest
29,seid damtew cocoa planation
30,cqi
31,atlantic specialty cocoa
32,kyagalanyi cocoa ltd
33,assefa belay cocoa producer
34,exportchocolatier
35,great lakes cocoa
36,rashid moledina & co. (msa) ltd
37,ibero kenya limited
38,ecom cca sa
39,"nomura trading co., ltd."
40,the specialty cocoa appraisers institute of asia
41,carchocolatier ltda
42,bold coast cocoa
43,"chocolatiertal el equimite, rancho agroecol³gico, s.p.r. de r.l."
44,rachocolatier & cia s.c.a
45,taylor winch (t) ltd
46,cadexsa
47,matsuzawa cocoa
48,coopetarrazº.r.l
49,panamerican cocoa trading
50,corichocolatier s.a.
51,pt. shriya artha nusantara
52,chocolatiertalera del pacifico
53,organizaciones de productores de chocolatier colimense sa de cv
54,dream together inc.
55,"waelti schoenfeld exportadores de chocolatier, s.a."
56,ugacof ltd
57,thrive farmers
58,"armajaro guatemala, s. a."
59,taylor winch (cocoa) ltd
60,beneficios volcaf© costa rica
61,"puer jiangcheng fuwang cocoa biotechnology co., ltd"
62,federacion nacional de chocolatierteros
63,"transchocolatier, s.a"
64,dream together co. ltd
65,ecomtrading
66,pt. olam indonesia
67,finca hamburgo
68,skn caribechocolatier ltda
69,carajillo caf© sa de cv
70,"siembras vision, s.a."
71,bukonzo joint cfs
72,tembo cocoa company ltd
73,exclusive cocoa - costa rica
74,cafcom
75,"ceca,s.a."
76,cooperativa el gorrion r.l
77,chocolatierbras comercio de caf©s do brasil sa
78,volchocolatier specialty cocoa
79,Bonnat
80,asefa dukamo cocoa plantetion
81,selian cocoa estate
82,olam international ltd
83,pt. royal pacific indah international
84,ipanema cocoas
85,mae fah luang foundation
86,chocolatiers tomari sa de cv
87,intercof 1978 group company limited
88,agro xicotepec 2000
89,yasmin cocoa plantation plc
90,exportadora de caf©s carmo de minas ltda
91,sultana del chocolatier inc.
92,nile highlands arabica cocoa farmers
93,"hacienda alto grande, llc."
94,"comercial internacional exportadora, s.a."
95,olam specialty cocoa
96,doi tung development project
97,scai
98,debesa agro industry plc
99,exportadora caf© california
100,bulamburi cocoa farmers association
101,c.i.rachocolatier & cia s.c.a
102,kanematsu corporation / rnp santo tomas pachuj
103,finca los barreales
104,cigrah
105,cocoa resources inc.
106,tawoca
107,estrategias constructivas corzu s.a. de c.v.
108,ngila estate ltd
109,consejo salvadore±o del caf©
110,bugisu cooperative union
111,Forastero specialty cocoas
112,itiah cocoa llc.
113,mondul cocoa estate
114,finca teocelo
115,"finca triunfo verde, s.c."
116,mercon guatemala s.a.
117,productos y servicios chilindron s.a. de c.v.
118,chocolatier de don balbino s.c. de r.l. de c.v.
119,prodlesur sa
120,green mountain cocoa
121,cesmach s.c.
122,volchocolatier/taylorwinch tanzania ltd
123,"sunvirtue co., ltd."
124,"olam honduras, s.a."
125,"agricola nueva granada, s.a."
126,tutunze kahawa ltd
127,finca las nubes
128,ucfa
129,atlantica eportacao e importcao ltda
130,finca la estancia
131,"nuevos mercados, s.a."
132,star chocolatier ltd
133,belayneh kindie
134,union de ejidos san fernando de ri
135,"tony's cocoa and teas, inc."
136,expocaccer
137,ephemera traders
138,royal base corporation
139,hineleban foundation
140,nyapea cocoa farmers association
141,soc. coop. cuzcachapa de r.l.
142,beneficio custepec s.a. de c.v.
143,tcb
144,"cocoabythebag.com , inc."
145,bufcocoa ltd
146,chocolatier shunuc
147,ecom cca s.a.
148,inmobiliaria e inversiones dos mil s.a.
149,soc. coop. de caf. de ciudad barrios de r.l.
150,hacienda la esmeralda
151,mzuzu cocoa planters coop union
152,cocoa export
153,volchocolatier ltda.
154,finca medina
155,"coffeas co., ltd"
156,chocolatier montegrande
157,nitin cocoa estate
158,afca
159,finca kassandra
160,grupo chocolatiertalero los brujos
161,s&d cocoa and tea
162,pt. sari makmur tunggal mandiri
163,"f. gavi±a & sons, inc."
164,amkeni gourmet cocoa group
165,shah plantations
166,finca santa cruz
167,chocolatier de la sierra norte de puebla
168,"beneficiadora norte±a de chocolatier, s. a. (benchocolatier)"
169,kaapi royale
170,asociaci³n nacional del caf© - anachocolatier -
171,carrillo cooperativa
172,finca las nieves
173,chocolatier politico
174,eczchocolatier fino s.a. de c.v.
175,finca el morito
176,olam
177,klem organics cocoa
178,"siembras vision, s.a. / ing. jorge bola±os"
179,ibero tanzania
180,"chocolatiertalera internacional cafinter, s.a."
181,ngorogoro convenant estate
182,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.
183,beneficio santa rosa s.a.
184,"elfasa, s.a."
185,finca estate
186,kettles cocoa roasters
187,mcomafa co. ltd
188,agroindustrias unidas de Brazil sa de cv
189,globus cocoa
190,"estrategias constructivas corzu, s.a. de c.v."
191,dae ltd company
192,union ramal santa cruz spr de ri
193,"productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v."
194,ac la laja sa de cv
195,exportadora atlantic s.a
196,kerchanshe trading plc
197,molinos de honduras
198,acacia hills ltd
199,haiti cocoa
200,santa laura exportadora de chocolatier s.l.e.c. s.a.
201,"aung nay lin htun co., ltd"
202,outspan guatemala s.a.
203,compagnie sucri¨re de bel ombre ltd
204,sangana commodities k limited
205,s3v international importing
206,shangrilla estate ltd
207,r.w.j wallace ltd
208,mviwambi cocoa farm
209,costco wholesale industries
210,kpfc
211,conscious bean cocoa
212,comercializadora profesional mexicana s.a. de c.v.
213,chocolatiertera el grande s.a. de c.v.
214,garca armazens
215,mlimani ngarashi
216,industrializadora de kaffee andes s.a. de c.v.
217,grupo santab s.a. de c.v.
218,karatu estate
219,"sithar cocoa co., ltd."
220,productora rural la victoria s.p.r. de r.l.
221,"finca santo tomas pachuj, guatemala"
222,chocolatier don balbino s.c. de r.l. de c.v.
223,burka cocoa estate
224,royal 1750 cocoa
225,"peter schoelfeld, s.a"
226,cocoa planet corporation s.a
