ID,Owner,Country.of.Origin,Farm.Name,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma Quality,Flavour Quality,Aftertaste Quality,Bitterness Quality,Avg.beans.per.100g,Acidity Quality,Astringency Quality,Sweetness Quality,Taster.Points Quality,Total.Points Quality,Moisture,Category.One.Defects,Colour,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement
0,metad plc,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2020,"April 4th, 2020",metad plc,Criollo,Washed / Wet,8.67,8.83,8.67,8.75,114.75,8.42,10,10,8.75,72.09,0.12,0,Green,0,"April 3rd, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
1,metad plc,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2020,"April 4th, 2020",metad plc,Criollo,Washed / Wet,8.75,8.67,8.5,8.58,113.67,8.42,10,10,8.58,71.5,0.12,0,Green,1,"April 3rd, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
2,cocoa for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",,,1600 - 1800 m,,,5,1,Specialty cocoa Association,2020,"May 31st, 2020",cocoa for Health Admin,Criollo,,8.42,8.5,8.42,8.42,112.455,8.42,10,10,9.25,71.43,0,0,,0,"May 31st, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
3,yidnekachew dabessa,Ethiopia,yidnekachew dabessa cocoa plantation,,yidnekachew debessa cocoa plantation,1800-2200,oromia,Yidnekachew Dabessa cocoa Plantation,320,60 kg,METAD Agricultural Development plc,2020,"March 26th, 2020",Yidnekachew Dabessa,Criollo,Natural / Dry,8.17,8.58,8.42,8.42,114.75,8.25,10,10,8.67,70.51,0.11,0,Green,2,"March 25th, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
5,ji-ae ahn,Brazil,,,,,,,100,30 kg,Specialty cocoa Institute of Asia,2020,"September 3rd, 2020",Ji-Ae Ahn,Criollo,Natural / Dry,8.58,8.42,8.42,8.5,111.375,8.33,10,10,8.33,70.58,0.11,0,Purple,1,"September 3rd, 2022",Specialty cocoa Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m
4,metad plc,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2020,"April 4th, 2020",metad plc,Criollo,Washed / Wet,8.25,8.5,8.25,8.5,113.67,8.33,10,10,8.58,70.41,0.12,0,Green,2,"April 3rd, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
6,hugo valdivia,Peru,,,richmond investment-cocoa department,,,HVC,100,69 kg,Specialty cocoa Institute of Asia,2020,"September 17th, 2020",Hugo Valdivia,Criollo,Washed / Wet,8.42,8.5,8.33,8.5,111.375,8.25,10,10,8.5,70.5,0.11,0,Purple,0,"September 17th, 2022",Specialty cocoa Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m
7,ethiopia commodity exchange,Ethiopia,aolme,010/0338,,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,2020,"September 2nd, 2020",Ethiopia Commodity Exchange,Criollo,,8.25,8.33,8.5,8.42,112.455,8.5,10,9.33,9,70.33,0.03,0,,0,"September 2nd, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
8,ethiopia commodity exchange,Ethiopia,aolme,010/0338,,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,2020,"September 2nd, 2020",Ethiopia Commodity Exchange,Criollo,,8.67,8.67,8.58,8.42,112.455,8.42,9.33,9.33,8.67,70.09,0.03,0,,0,"September 2nd, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
9,diamond enterprise plc,Ethiopia,tulla cocoa farm,2014/15,diamond enterprise plc,1795-1850,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60 kg,METAD Agricultural Development plc,2020,"March 30th, 2020",Diamond Enterprise Plc,Criollo,Natural / Dry,8.08,8.58,8.5,8.5,103.545,8.42,10,10,8.5,70.58,0.1,0,Green,4,"March 29th, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
